"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.08_em","2000.08_sb","2001.06_NA","2001.06_em","2001.06_sb","2002.07_em","2002.07_sb","2003.10_NA","2003.10_em","2003.10_sb","2004.09_NA","2004.09_em","2004.09_sb","2005.08_NA","2005.08_em","2005.08_sb","2006.09_NA","2006.09_em","2006.09_sb","2007.09_NA","2007.09_em","2007.09_sb","2008.07_em","2008.07_sb","2009.08_em","2009.08_sb","2010.08_em","2010.08_sb","2011.06_em","2011.06_sb","2013.03_NA","2013.03_em","2013.03_sb","2014.06_em","2014.06_sb","2015.08_em","2015.08_sb","2016.06_NA","2016.06_em","2016.06_sb","2017.06_NA","2017.06_em","2017.06_sb","2018.03_em","2018.03_sb","2019.03_em","2019.03_sb","2020.08_em","2020.08_sb","2021.05_em","2021.05_sb","2022.09_em","2022.09_sb","2023.02_em","2023.02_sb"
"49",49,314.159265359,0.78,"flat site","Near LCP 15_2","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,89,11,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"50",50,314.159265359,0.78,"flat site","Near Kirk Mughara","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"51",51,392.58205392,0.98,"-","ReS_2","5",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"52",52,523.0270414,1.53,"-","ReS_3","ReS_3",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"53",53,314.159265359,0.78,"flat site","QNR_7","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"54",54,314.159265359,0.78,"rock-cut tombs","Rock-cut Tomb","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"55",55,361.276680415,0.95,"-","Tannira Maqbara","2",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,96,4,100,0,100,0,100,0,100,0
"56",56,314.159265359,0.78,"-","Khirbet el Matbukh","4",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,8,92,0,8,92,0,8,92,8,92,8,92,8,92,8,92,0,8,92,8,92,8,92,0,67,33,0,8,92,79,21,5,95,63,37,84,16,89,11,11,89
"57",57,314.159265359,0.78,"-","Dakhne","4","we do not have data on this site",83,17,0,83,17,92,8,0,83,17,0,75,25,0,92,8,0,83,17,0,83,17,83,17,83,17,83,17,83,17,0,92,8,83,17,92,8,0,100,0,0,92,8,100,0,100,0,100,0,100,0,100,0,100,0
"58",58,314.159265359,0.78,"flat site","Hammam Saghir Spring","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,95,5,100,0,100,0,100,0,100,0
